X,Y,OBJECTID,EVENT_UNIQUE_ID,OCC_DATE,OCC_YEAR,OCC_MONTH,OCC_DAY,OCC_DOW,OCC_DOY,DIVISION,HOMICIDE_TYPE,HOOD_158,NEIGHBOURHOOD_158,HOOD_140,NEIGHBOURHOOD_140,LONG_WGS84,LAT_WGS84
-8837971.70152976,5416826.95527971,1,GO-2004111878,2004/01/03 05:00:00+00,2004,January,3,Saturday,3,D53,Other,98,Rosedale-Moore Park,98,Rosedale-Moore Park (98),-79.3928506010462,43.6850197806925
-8820275.97099837,5431727.92086343,2,GO-2004125755,2004/01/08 05:00:00+00,2004,January,8,Thursday,8,D42,Shooting,142,Woburn North,137,Woburn (137),-79.2338871489439,43.7817405380626
-8817271.07800845,5436217.18930276,3,GO-2004136086,2004/01/08 05:00:00+00,2004,January,8,Thursday,8,D42,Shooting,146,Malvern East,132,Malvern (132),-79.2068937359723,43.8108493334545
-8842596.50294798,5414586.78733137,4,GO-2004148623,2004/01/25 05:00:00+00,2004,January,25,Sunday,25,D13,Shooting,171,Junction-Wallace Emerson,93,Dovercourt-Wallace Emerson-Junction (93),-79.434395898524,43.6704655557602
-8816933.62388141,5438174.36845689,5,GO-2004148619,2004/01/25 05:00:00+00,2004,January,25,Sunday,25,D42,Shooting,144,Morningside Heights,131,Rouge (131),-79.2038623342894,43.8235354090637
-8850860.27529075,5422353.33015372,6,GO-2004152518,2004/02/20 05:00:00+00,2004,February,20,Friday,51,D31,Stabbing,154,Oakdale-Beverley Heights,26,Downsview-Roding-CFB (26),-79.5086306290584,43.7209091805647
-8850860.27529075,5422353.33015372,7,GO-2004152518,2004/02/20 05:00:00+00,2004,February,20,Friday,51,D31,Stabbing,154,Oakdale-Beverley Heights,26,Downsview-Roding-CFB (26),-79.5086306290584,43.7209091805647
-8850898.72849377,5422576.4819882,8,GO-2004172092,2004/02/21 05:00:00+00,2004,February,21,Saturday,52,D31,Shooting,154,Oakdale-Beverley Heights,26,Downsview-Roding-CFB (26),-79.5089760602365,43.7223579229134
-8860237.06376236,5425773.04854302,9,GO-2004133635,2004/02/21 05:00:00+00,2004,February,21,Saturday,52,D23,Other,2,Mount Olive-Silverstone-Jamestown,2,Mount Olive-Silverstone-Jamestown (2),-79.5928637532225,43.7431067653124
-8819575.7771899,5437051.85400536,10,GO-2004218803,2004/03/03 05:00:00+00,2004,March,3,Wednesday,63,D42,Shooting,144,Morningside Heights,131,Rouge (131),-79.2275972011217,43.8162598059822
-8823906.73489348,5435780.83946184,11,GO-2004218585,2004/03/03 05:00:00+00,2004,March,3,Wednesday,63,D42,Shooting,129,Agincourt North,129,Agincourt North (129),-79.2665028556909,43.8080206259501
-8830839.21262161,5418507.44798473,12,GO-2004301868,2004/03/03 05:00:00+00,2004,March,3,Wednesday,63,D54,Shooting,58,Old East York,58,Old East York (58),-79.3287783629918,43.695935515389
-8826157.97778754,5419145.29828099,13,GO-2004200779,2004/03/04 05:00:00+00,2004,March,4,Thursday,64,D41,Shooting,120,Clairlea-Birchmount,120,Clairlea-Birchmount (120),-79.2867261150234,43.7000781869406
-8821236.68915074,5429467.0419879,14,GO-2004229133,2004/03/13 05:00:00+00,2004,March,13,Saturday,73,D41,Stabbing,142,Woburn North,137,Woburn (137),-79.2425174272663,43.7670754399201
-8841827.16826981,5420631.93401127,15,GO-2004219659,2004/03/18 05:00:00+00,2004,March,18,Thursday,78,D53,Other,39,Bedford Park-Nortown,39,Bedford Park-Nortown (39),-79.4274848484209,43.7097323889966
-8819322.40033656,5428348.16329227,16,GO-2004219687,2004/03/24 05:00:00+00,2004,March,24,Wednesday,84,D42,Other,141,Golfdale-Cedarbrae-Woburn,137,Woburn (137),-79.2253210775727,43.7598165487073
-8835660.23390062,5412808.89163246,17,GO-2004256410,2004/04/01 05:00:00+00,2004,April,1,Thursday,92,D51,Other,73,Moss Park,73,Moss Park (73),-79.3720863340013,43.6589121709832
-8855527.97979732,5422997.42936492,18,GO-2004250857,2004/04/13 04:00:00+00,2004,April,13,Tuesday,104,D23,Shooting,5,Elms-Old Rexdale,5,Elms-Old Rexdale (5),-79.5505613321606,43.7250906942846
-8858725.34463211,5424560.17741951,19,GO-2004350484,2004/05/01 04:00:00+00,2004,May,1,Saturday,122,D23,Shooting,2,Mount Olive-Silverstone-Jamestown,2,Mount Olive-Silverstone-Jamestown (2),-79.5792837490048,43.7352348917432
-8851987.75226671,5429787.94527538,20,GO-2004311851,2004/05/15 04:00:00+00,2004,May,15,Saturday,136,D31,Shooting,24,Black Creek,24,Black Creek (24),-79.5187589269812,43.7691571849407
-8854813.15816247,5402873.18818589,21,GO-2004311870,2004/05/19 04:00:00+00,2004,May,19,Wednesday,140,D22,Stabbing,20,Alderwood,20,Alderwood (20),-79.5441399804069,43.594305578523
-8845117.19389026,5420697.5632528,22,GO-2004374908,2004/05/20 04:00:00+00,2004,May,20,Thursday,141,D13,Other,31,Yorkdale-Glen Park,31,Yorkdale-Glen Park (31),-79.4570396512971,43.7101585494957
-8834648.52618946,5412988.75225275,23,GO-2004374867,2004/05/21 04:00:00+00,2004,May,21,Friday,142,D51,Shooting,72,Regent Park,72,Regent Park (72),-79.3629980089409,43.6600810693846
-8858578.0575912,5424804.68070012,24,GO-2004408720,2004/05/21 04:00:00+00,2004,May,21,Friday,142,D23,Other,3,Thistletown-Beaumond Heights,3,Thistletown-Beaumond Heights (3),-79.5779606472862,43.7368218701884
-8847613.16901129,5421399.21730318,25,GO-2004308782,2004/05/22 04:00:00+00,2004,May,22,Saturday,143,D31,Shooting,29,Maple Leaf,29,Maple Leaf (29),-79.4794613769718,43.714714512746
-8842994.82724049,5410248.81591834,26,GO-2004418221,2004/05/25 04:00:00+00,2004,May,25,Tuesday,146,D11,Other,86,Roncesvalles,86,Roncesvalles (86),-79.4379741066678,43.6422720015446
-8835923.47432877,5413006.46479674,27,GO-2004456650,2004/06/01 04:00:00+00,2004,June,1,Tuesday,153,D51,Other,73,Moss Park,73,Moss Park (73),-79.3744510627995,43.6601961798157
-8841898.48599214,5409280.22174075,28,GO-2004455137,2004/06/04 04:00:00+00,2004,June,4,Friday,156,D14,Shooting,85,South Parkdale,85,South Parkdale (85),-79.4281255059228,43.6359750600625
-8835317.23149885,5412147.59792388,29,GO-2004456829,2004/06/18 04:00:00+00,2004,June,18,Friday,170,D51,Stabbing,73,Moss Park,73,Moss Park (73),-79.36900509117,43.6546142868365
-8853815.36828196,5420857.48135042,30,GO-2004510813,2004/06/19 04:00:00+00,2004,June,19,Saturday,171,D31,Shooting,23,Pelmo Park-Humberlea,23,Pelmo Park-Humberlea (23),-79.535176680745,43.7111969561386
